,"NOMBRE
MUNICIPIO",MUNICIPIO,LATITUD,LONGITUD,"LISTA
NOMINAL",TOTAL_18_29,LISTA_NOBINARIO_TOTAL,LISTA_HOMBRES_TOTAL,LISTA_MUJERES_TOTAL,LISTA_18_HOMBRES,LISTA_18_MUJERES,LISTA_18_NOBINARIO,LISTA_19_HOMBRES,LISTA_19_MUJERES,LISTA_19_NOBINARIO,LISTA_20_24_HOMBRES,LISTA_20_24_MUJERES,LISTA_20_24_NOBINARIO,LISTA_25_29_HOMBRES,LISTA_25_29_MUJERES,LISTA_25_29_NOBINARIO
0,ACATIC,"ACATIC, JALISCO, MEXICO",20.7949972,-102.912616,18004,4907,0,2451,2456,166,182,0,196,200,0,1094,1063,0,995,1011,0
1,ACATLAN DE JUAREZ,"ACATLAN DE JUAREZ, JALISCO, MEXICO",20.4216103,-103.5928664,18640,5210,0,2637,2573,123,145,0,232,220,0,1136,1088,0,1146,1120,0
2,AHUALULCO DE MERCADO,"AHUALULCO DE MERCADO, JALISCO, MEXICO",20.6998901,-103.9753155,18706,4819,0,2417,2402,135,133,0,176,172,0,1057,1079,0,1049,1018,0
3,AMACUECA,"AMACUECA, JALISCO, MEXICO",20.0111776,-103.6003447,4828,1154,0,573,581,35,38,0,35,46,0,261,254,0,242,243,0
4,AMATITAN,"AMATITAN, JALISCO, MEXICO",20.8364544,-103.7318129,12694,3684,0,1803,1881,135,128,0,173,159,0,782,811,0,713,783,0
5,AMECA,"AMECA, JALISCO, MEXICO",20.5476288,-104.0466211,52351,12342,0,6124,6218,399,456,0,481,491,0,2715,2710,0,2529,2561,0
6,ARANDAS,"ARANDAS, JALISCO, MEXICO",20.705519,-102.346916,63281,18129,0,8874,9255,572,593,0,700,779,0,3974,4129,0,3628,3754,0
7,ATEMAJAC DE BRIZUELA,"ATEMAJAC DE BRIZUELA, JALISCO, MEXICO",20.1408274,-103.7285006,5462,1672,0,831,841,52,46,0,75,72,0,367,372,0,337,351,0
8,ATENGO,"ATENGO, JALISCO, MEXICO",20.2740371,-104.2368959,4780,1105,0,576,529,40,36,0,66,43,0,244,229,0,226,221,0
9,ATENGUILLO,"ATENGUILLO, JALISCO, MEXICO",20.4157007,-104.4949299,3819,818,0,396,422,38,29,0,25,37,0,165,162,0,168,194,0
