Año,Mes,BP1_1_INSEGURO_1,BP1_1_SEGURO_1,BP1_1_TOTAL,PORCENTAJE_BP1_1_SEGURO_1
2018,diciembre,12520.0,5442.0,17962.0,30.3
2018,junio,12551.0,4955.0,17506.0,28.3
2018,marzo,11179.0,3967.0,15146.0,26.19
2018,septiembre,14379.0,5705.0,20084.0,28.41
2019,diciembre,15378.0,6707.0,22085.0,30.37
2019,junio,13157.0,5813.0,18970.0,30.64
2019,marzo,12824.0,5240.0,18064.0,29.01
2019,septiembre,15168.0,7170.0,22338.0,32.1
2020,diciembre,14228.0,7971.0,22199.0,35.91
2020,marzo,15526.0,6789.0,22315.0,30.42
2020,septiembre,14112.0,7909.0,22021.0,35.92
2020,junio,12854.0,5384.0,18238.0,29.52
2021,diciembre,14622.0,8736.0,23358.0,37.4
2021,junio,13901.0,8438.0,22339.0,37.77
2021,marzo,13776.0,8430.0,22206.0,37.96
2021,septiembre,14392.0,8892.0,23284.0,38.19
2022,diciembre,14689.0,9618.0,24307.0,39.57
2022,junio,15178.0,8464.0,23642.0,35.8
2022,marzo,14757.0,8770.0,23527.0,37.28
2022,septiembre,14353.0,9182.0,23535.0,39.01
2023,junio,14471.0,9896.0,24367.0,40.61
2023,marzo,14024.0,9682.0,23706.0,40.84
2023,septiembre,14429.0,9991.0,24420.0,40.91
2023,diciembre,14655.0,9177.0,23832.0,38.507049345417926
